predictor,predictor_mode,outcome,evidence_class,scope,held_out_study,n_arms,spearman_rho
R4_shared_concept_ratio,absolute,ppl_favorable_vs_control,task_facing_perplexity,study:guard_sweep,,5,0.39999999999999997
R4_shared_concept_ratio,absolute,ppl_favorable_vs_control,task_facing_perplexity,study:original,,5,0.7
R4_shared_concept_ratio,absolute,ppl_favorable_vs_control,task_facing_perplexity,study:wordalign,,6,0.8857142857142858
R4_shared_concept_ratio,absolute,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,codeswitch,14,0.7802197802197802
R4_shared_concept_ratio,absolute,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,guard_sweep,14,0.5956043956043956
R4_shared_concept_ratio,absolute,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,original,14,0.6571428571428571
R4_shared_concept_ratio,absolute,ppl_favorable_vs_control,task_facing_perplexity,leave_one_study_out,wordalign,13,0.07692307692307691
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,pooled_within_study_centered,,18,0.09391124871001032
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:codeswitch,,4,-0.39999999999999997
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:guard_sweep,,5,-0.7999999999999999
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:original,,5,-0.39999999999999997
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,study:wordalign,,6,0.7142857142857143
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,codeswitch,14,0.24835164835164836
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,guard_sweep,14,0.08131868131868132
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,original,14,0.221978021978022
R4_shared_concept_ratio,absolute,delta_context_trained_vs_control,behavioral_health_inversion_risk,leave_one_study_out,wordalign,13,-0.21978021978021978
