model,layer,n_axes,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_raw_variance_ss_language_fraction,spearman_language_share_vs_raw_variance,median_share_top5_raw_variance,median_share_rest,median_share_top5_minus_rest,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,gaussian_null_mean
bloom-7b1,0,4096,0.562477130637645,0.7119079525985825,0.8002416797398815,0.8645818987733271,0.9345846793920227,0.9775390625,0.654541015625,0.12890625,1.0,0.5929061667549456,0.4569719271493802,0.6086017103637658,0.9399819333175162,0.7918479491984851,0.14813398411903111,13,300,4096,0.8091661470296835,0.3900870526740913,0.2510166737945902,0.0385852090032154
bloom-7b1,8,4096,0.6541555610339775,0.7915380799416771,0.8594675522493302,0.9067326598610882,0.9488380626997037,0.994384765625,0.84375,0.2900390625,1.0,0.8696169858005773,0.8194824775744637,0.7705239165816742,0.9375519930896142,0.85622326024,0.08132873284961428,13,300,4096,0.8527047830152925,0.8719812242244901,0.8636347476588601,0.0385852090032154
bloom-7b1,17,4096,0.4501854291621645,0.62694814412111,0.7345637491246282,0.8186777056470719,0.8993389454768276,0.915283203125,0.459716796875,0.04931640625,1.0,0.8883860836884563,0.8449147231906072,0.7856532242445334,0.8941143071064198,0.7271501851837165,0.16696412192270327,13,300,4096,0.7335823842752519,0.8573467831449822,0.8705093917344588,0.0385852090032154
bloom-7b1,22,4096,0.5416508034763026,0.6984333822110966,0.7809604642229984,0.8459097884364045,0.9130298617523722,0.972412109375,0.606689453125,0.07275390625,1.0,0.7650820650870984,0.6919164111794138,0.7942562282154324,0.9191492980465348,0.7758098417058403,0.14333945634069445,13,300,4096,0.7762382097565377,0.7956916010025769,0.7325452896391015,0.0385852090032154
bloom-7b1,30,4096,0.46376972437264846,0.6395039790410417,0.7604840406873346,0.8631170196288941,0.9614020847952811,0.92236328125,0.524169921875,0.162353515625,1.0,0.9888210541911213,0.9841603306143228,0.8095641114628903,0.9499967588109282,0.7514786632624751,0.198518095548453,13,300,4096,0.7735570095422035,0.1126627645649763,0.2920870816848875,0.0385852090032154
salamandra-2b,0,2048,0.8982990994272296,0.9464797902012816,0.9652931572611267,0.9776794356488123,0.9877608592894537,0.99951171875,0.9970703125,0.94775390625,1.0,0.38167570625872704,0.17471744815794202,0.8725502513096337,0.9891168310787172,0.963932770794864,0.025184060283853227,13,300,2048,0.9603957830564124,0.5571232575157437,0.2305815398209983,0.0385852090032154
salamandra-2b,6,2048,0.5347856757399642,0.7376356371238185,0.8192670789868912,0.8831380120651436,0.9456425745140223,0.96484375,0.72900390625,0.18603515625,1.0,0.9975106770277353,0.9977392532104659,0.050182193840520105,0.8238085193091215,0.8191386901237248,0.004669829185396712,13,300,2048,0.808007891684794,0.9601815047692468,0.9952223858232868,0.0385852090032154
salamandra-2b,18,2048,0.6904787302559292,0.8195981265047521,0.8758541037091216,0.9119297388169535,0.9492875326276258,0.9951171875,0.8916015625,0.34033203125,1.0,0.98801581911045,0.9857265114897433,0.5925004688837753,0.8787315847353497,0.8757641042214892,0.002967480513860532,13,300,2048,0.8639959348523434,0.8421578900629202,0.9829589531901978,0.0385852090032154
salamandra-2b,24,2048,0.787883556361376,0.8824762096331253,0.9208365863473407,0.9502991489989285,0.9789350051972848,0.99951171875,0.974609375,0.65380859375,1.0,0.6771944969209294,0.5449915160971882,0.8227632545189869,0.982745429848667,0.9172641538521484,0.06548127599651854,13,300,2048,0.9167273412998552,0.4225850138576405,0.3003570331317314,0.0385852090032154
salamandra-7b,0,4096,0.8864690834370328,0.9426953097790294,0.9639515777951861,0.9767900128548703,0.9874930950911687,0.999755859375,0.998291015625,0.930908203125,1.0,0.37336392323703427,0.16050095391078228,0.8782410259776988,0.9890474186342876,0.962656241536207,0.026391177098080587,13,300,4096,0.9584435235110864,0.2380014593667282,0.2306876486945012,0.0385852090032154
salamandra-7b,8,4096,0.7574614650480156,0.8656137804230535,0.9076551138759686,0.9369807249449036,0.9628443080115789,0.995361328125,0.9541015625,0.557373046875,1.0,0.9960351234047831,0.9955902473291963,0.628178956060161,0.8548804100796302,0.9090107283270328,-0.054130318247402553,13,300,4096,0.8970239392597557,0.981897214216408,0.996230388549284,0.0385852090032154
salamandra-7b,18,4096,0.54326075230835,0.6930596061422912,0.7705196629429123,0.8358533101033181,0.8999849665064172,0.9716796875,0.5751953125,0.050048828125,1.0,0.9778548411073531,0.9714128483141625,0.6737342784125301,0.8410764451586674,0.7687160765852847,0.07236036857338268,13,300,4096,0.7694086996742854,0.8726272823166644,0.9613948826889284,0.0385852090032154
salamandra-7b,24,4096,0.728048568795885,0.8301661889218055,0.88026786583891,0.9156485373734103,0.9496693614640079,0.9951171875,0.92529296875,0.37158203125,1.0,0.8363741118690151,0.793832590233288,0.7083826290550532,0.9221133343170906,0.8796795297192176,0.04243380459787305,13,300,4096,0.8722585243200615,0.6910698339435323,0.8028738355711268,0.0385852090032154
salamandra-7b,32,4096,0.7873796619682752,0.8743785746837929,0.9167692743891545,0.9465532919845558,0.9736704336677207,0.9990234375,0.972412109375,0.619140625,1.0,0.7832175800537069,0.7101559838351802,0.8158491130702601,0.9751850053113392,0.914097639400786,0.06108736591055319,13,300,4096,0.9106333613970644,0.4760069263389827,0.3042652801988684,0.0385852090032154
