model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,standardized,concept_participation_ratio,42.69521387433855,42.69521387433855,42.69521387433855,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.269621387433855e-05,PASS,42.69521387433855,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,lfs_direct,0.6762231574447899,0.4596389813696337,,empirical,,,,EMPIRICAL,0.4596389813696337,0.21658417607515618,0.4712049779367667
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,ss_language,74634.90160490046,2131476.008653492,,empirical,,,,EMPIRICAL,2131476.008653492,-2056841.1070485918,-0.9649844045619593
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,ss_concept,35735.322755530455,2505806.935238936,,empirical,,,,EMPIRICAL,2505806.935238936,-2470071.6124834055,-0.9857389959884827
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,ss_residual,32877.594008451924,1260938.2719920245,,empirical,,,,EMPIRICAL,1260938.2719920245,-1228060.6779835725,-0.9739260876295617
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,language_share_total,0.5210194644131008,0.3613760709607213,,empirical,,,,EMPIRICAL,0.3613760709607213,0.1596433934523795,0.4417652586347685
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,concept_share_total,0.2494650401132608,0.4248411247259712,,empirical,,,,EMPIRICAL,0.4248411247259712,-0.1753760846127104,-0.41280392694052526
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,residual_share_total,0.2295154954736386,0.2137828043133074,,empirical,,,,EMPIRICAL,0.2137828043133074,0.015732691160331186,0.07359193930899273
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,lfs_vc_reml,0.7091925673376717,0.488943224002119,,empirical,,,,EMPIRICAL,0.488943224002119,0.22024934333555268,0.45045995633758523
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,mexa_external,0.3002777777777778,0.198611111111111,,empirical,,,,EMPIRICAL,0.198611111111111,0.10166666666666682,0.511888111888113
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,aar10,-0.1203446957656014,-0.1121798717448104,,empirical,,,,EMPIRICAL,-0.1121798717448104,-0.008164824020791009,-0.07278332461784728
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,mean_alignment_margin,-0.0474819105252704,-0.0527737842508088,,empirical,,,,EMPIRICAL,-0.0527737842508088,0.005291873725538403,0.1002746685814425
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,linear_cka,0.6884448647849637,0.7163464619995622,,empirical,,,,EMPIRICAL,0.7163464619995622,-0.027901597214598506,-0.03894986392019838
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,cvp_within_raw,17.59305558050831,965.8321044181954,,empirical,,,,EMPIRICAL,965.8321044181954,-948.239048837687,-0.9817845612089006
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,cpres_shared_raw,9.16290327064884,642.5145987792147,,empirical,,,,EMPIRICAL,642.5145987792147,-633.3516955085659,-0.9857389959884827
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,mean_norm,8.750646214492082,60.96344321452949,,empirical,,,,EMPIRICAL,60.96344321452949,-52.21279700003741,-0.8564607615140982
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,concept_rank_covariance_entropy,6.660434484886157,1.4157030406207425,,empirical,,,,EMPIRICAL,1.4157030406207425,5.244731444265415,3.7046833225460625
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,concept_rank_singular_entropy,149.08186577249472,94.5582238378986,,empirical,,,,EMPIRICAL,94.5582238378986,54.52364193459613,0.5766144891645401
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,concept_participation_ratio,2.057245285859428,1.0846202694685076,,empirical,,,,EMPIRICAL,1.0846202694685076,0.9726250163909205,0.8967424302954731
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,cvp_within_ratio,0.0182154387910993,1.0,,empirical,,,,EMPIRICAL,1.0,-0.9817845612089007,-0.9817845612089007
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,raw,cpres_shared_ratio,0.0142610040115173,1.0,,empirical,,,,EMPIRICAL,1.0,-0.9857389959884827,-0.9857389959884827
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,standardized,lfs_direct,0.7900691089438461,0.7900691089438461,0.7900691089438461,positive-diagonal invariant after coordinate standardization,0.0,0.0,7.910691089438461e-07,PASS,0.7900691089438461,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,standardized,ss_language,4407051.972452371,4407051.972452371,4407051.972452371,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.407051973452371,PASS,4407051.972452371,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,standardized,ss_concept,1171006.86134213,1171006.86134213,1171006.86134213,positive-diagonal invariant after coordinate standardization,0.0,0.0,1.17100686234213,PASS,1171006.86134213,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,standardized,ss_residual,2409141.1662055,2409141.1662055,2409141.1662055,positive-diagonal invariant after coordinate standardization,0.0,0.0,2.4091411672055,PASS,2409141.1662055,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,standardized,language_share_total,0.5517643194676946,0.5517643194676946,0.5517643194676946,positive-diagonal invariant after coordinate standardization,0.0,0.0,5.527643194676945e-07,PASS,0.5517643194676946,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.9,standardized,concept_share_total,0.1466104343627466,0.1466104343627466,0.1466104343627466,positive-diagonal invariant after coordinate standardization,0.0,0.0,1.4761043436274662e-07,PASS,0.1466104343627466,0.0,0.0
