model,flores_code,mexa_shared,aar_shared,q_L,r_content,log_tokens,macro_family_g,script_g,fertility,acc_native,acc_trans,acc
granite-3.1-8b-base,tur_Latn,0.25,-0.08621313644368182,0.3452025051994001,,10.808162253319553,Turkic,Latn,1.7084764705882354,0.3594890510948905,0.38,0.36974452554744525
granite-3.1-8b-base,arb_Arab,0.22333333333333333,-0.1938135890474612,0.3452025051994001,,10.841073612355865,Afro-Asiatic,Arab,3.117952941176471,0.38768115942028986,0.3988888888888889,0.3932850241545894
granite-3.1-8b-base,heb_Hebr,0.07666666666666666,-0.1839818917074943,0.3452025051994001,,9.693476506485494,Afro-Asiatic,other,4.055217647058823,0.39090909090909093,0.32555555555555554,0.35823232323232324
granite-3.1-8b-base,pes_Arab,0.13,-0.17208035467730312,0.3452025051994001,,10.662263375070816,Indo-European,Arab,3.4424411764705884,0.28832116788321166,0.35,0.31916058394160585
granite-3.1-8b-base,hin_Deva,0.03333333333333333,-0.32166944464658354,0.3452025051994001,,10.225085947081105,Indo-European,Deva,4.760605882352941,0.3692870201096892,0.3388888888888889,0.3540879544992891
granite-3.1-8b-base,ben_Beng,0.03666666666666667,-0.22429003472635467,0.3452025051994001,,9.981044874347496,Indo-European,other,6.026417647058824,0.32299270072992703,0.2966666666666667,0.3098296836982969
granite-3.1-8b-base,tam_Taml,0.023333333333333334,-0.20867042632936267,0.3452025051994001,,9.641283555217916,Dravidian,other,6.100917647058823,0.29454545454545455,0.3055555555555556,0.30005050505050507
granite-3.1-8b-base,tel_Telu,0.01,-0.25867730196553623,0.3452025051994001,,9.195061276656201,Dravidian,other,7.609270588235294,0.2755474452554745,0.3088888888888889,0.2922181670721817
granite-3.1-8b-base,mar_Deva,0.013333333333333334,-0.27010828365408635,0.3452025051994001,,9.291197362643686,Indo-European,Deva,5.015682352941177,,0.33,0.33
granite-3.1-8b-base,urd_Arab,0.06333333333333334,-0.21733606227787225,0.3452025051994001,,9.431854501264098,Indo-European,Arab,3.964352941176471,0.28125,0.3244444444444444,0.3028472222222222
granite-3.1-8b-base,vie_Latn,0.26666666666666666,-0.08119003563669555,0.3452025051994001,,10.743353922054286,other,Latn,2.1605588235294118,0.3181818181818182,0.38666666666666666,0.3524242424242424
granite-3.1-8b-base,ind_Latn,0.6033333333333334,-0.011467674256133244,0.3452025051994001,,10.081454105942349,Austronesian,Latn,1.3422529411764705,0.39454545454545453,0.4633333333333333,0.42893939393939395
granite-3.1-8b-base,zsm_Latn,0.6066666666666667,-0.04566958520402743,0.3452025051994001,,7.287263587861631,Austronesian,Latn,1.3803882352941177,0.35728542914171657,0.4388888888888889,0.3980871590153027
granite-3.1-8b-base,tha_Thai,0.06666666666666667,-0.19104454330738158,0.3452025051994001,,10.196379987855126,Tai-Kadai,other,5.162605882352942,,0.2911111111111111,0.2911111111111111
granite-3.1-8b-base,zho_Hans,0.6466666666666666,-0.04726003491646417,0.3452025051994001,,11.356131798505956,Sino-Tibetan,other,4.402152941176471,0.3743119266055046,0.5511111111111111,0.46271151885830786
granite-3.1-8b-base,jpn_Jpan,0.44333333333333336,-0.09175272710165049,0.3452025051994001,,11.032916144087627,other,other,5.0625647058823535,0.43912175648702595,0.4255555555555556,0.43233865602129073
granite-3.1-8b-base,kor_Hang,0.33,-0.06711953647061904,0.3452025051994001,,10.393846195528992,other,other,5.392352941176471,0.422,0.46,0.441
granite-3.1-8b-base,fin_Latn,0.17,-0.126303123384618,0.3452025051994001,,10.461273505456898,Uralic,Latn,1.6468823529411765,0.33030852994555354,0.35888888888888887,0.3445987094172212
granite-3.1-8b-base,hun_Latn,0.14,-0.1263818197207333,0.3452025051994001,,10.637669631397417,Uralic,Latn,1.797864705882353,0.27090909090909093,0.3333333333333333,0.3021212121212121
granite-3.1-8b-base,est_Latn,0.12666666666666668,-0.1725742136592542,0.3452025051994001,,9.944761723531126,Uralic,Latn,1.6741529411764706,0.24107142857142858,0.3288888888888889,0.28498015873015875
granite-3.1-8b-base,kat_Geor,0.006666666666666667,-0.17974246988373302,0.3452025051994001,,9.417907523376437,other,other,6.757517647058824,0.274,0.28555555555555556,0.2797777777777778
granite-3.1-8b-base,amh_Ethi,0.006666666666666667,-0.19983154102845951,0.3452025051994001,,8.5541337799261,Afro-Asiatic,other,9.0556,,0.2722222222222222,0.2722222222222222
granite-3.1-8b-base,swh_Latn,0.13666666666666666,-0.12128494609212925,0.3452025051994001,,7.487255902011655,Atlantic-Congo,Latn,1.6242705882352941,,0.31,0.31
granite-3.1-8b-base,yor_Latn,0.023333333333333334,-0.23326257047628982,0.3452025051994001,,4.632892380992985,Atlantic-Congo,Latn,2.822870588235294,,0.27555555555555555,0.27555555555555555
granite-3.1-8b-base,khm_Khmr,0.013333333333333334,-0.19526482670003878,0.3452025051994001,,8.873125289337338,other,other,7.467370588235294,,0.27444444444444444,0.27444444444444444
granite-3.1-8b-base,mya_Mymr,0.0033333333333333335,-0.16057437898952082,0.3452025051994001,,8.94576714414124,Sino-Tibetan,other,9.286835294117648,,0.24444444444444444,0.24444444444444444
mGPT,deu_Latn,0.21,-0.7837300605314952,0.5557909635347984,,11.552705133249123,Indo-European,Latn,1.3225588235294117,0.33093525179856115,0.2477777777777778,0.2893565147881695
mGPT,fra_Latn,0.13333333333333333,-0.9325056018259951,0.5557909635347984,,11.504243358607456,Indo-European,Latn,1.2537352941176472,0.24343675417661098,0.23333333333333334,0.23838504375497216
mGPT,spa_Latn,0.21,-0.8148906243107954,0.5557909635347984,,11.572692346038526,Indo-European,Latn,1.2007941176470587,0.26545454545454544,0.23333333333333334,0.2493939393939394
mGPT,por_Latn,0.19,-0.9093885716477685,0.5557909635347984,,11.136535917638877,Indo-European,Latn,1.2411764705882353,0.2159709618874773,0.2288888888888889,0.2224299253881831
mGPT,ita_Latn,0.21333333333333335,-0.8064240765018165,0.5557909635347984,,11.218657350111846,Indo-European,Latn,1.2658764705882353,0.25547445255474455,0.24555555555555555,0.25051500405515004
mGPT,nld_Latn,0.17,-0.9277474095360662,0.5557909635347984,,10.903264809073452,Indo-European,Latn,1.3371529411764707,0.14882032667876588,0.22444444444444445,0.18663238556160516
mGPT,swe_Latn,0.24,-0.8963571826764525,0.5557909635347984,,10.585304823582218,Indo-European,Latn,1.4709764705882353,,0.2611111111111111,0.2611111111111111
mGPT,pol_Latn,0.12,-1.0345115559456597,0.5557909635347984,,11.069183544489329,Balto-Slavic,Latn,1.8035588235294118,0.26277372262773724,0.24444444444444444,0.25360908353609085
mGPT,ces_Latn,0.02666666666666667,-1.0598240495632107,0.5557909635347984,,10.755192300065602,Balto-Slavic,Latn,1.9043941176470587,,0.23444444444444446,0.23444444444444446
mGPT,ron_Latn,0.09,-1.0734427655704362,0.5557909635347984,,10.598220789235437,Indo-European,Latn,1.5607,,0.23333333333333334,0.23333333333333334
mGPT,rus_Cyrl,0.1,-0.9898573907296416,0.5557909635347984,,11.867586387163913,Balto-Slavic,Cyrl,1.9942470588235295,0.24818840579710144,0.2477777777777778,0.2479830917874396
mGPT,ukr_Cyrl,0.09666666666666666,-1.0565975890891692,0.5557909635347984,,10.582360317494818,Balto-Slavic,Cyrl,2.340729411764706,0.29818181818181816,0.2633333333333333,0.28075757575757576
mGPT,bul_Cyrl,0.1,-0.9842705550196948,0.5557909635347984,,10.360175858097726,Balto-Slavic,Cyrl,2.0901764705882355,0.24181818181818182,0.23555555555555555,0.23868686868686867
mGPT,ell_Grek,0.08666666666666667,-0.9932691200409803,0.5557909635347984,,10.634956550916772,Indo-European,other,3.2260705882352942,0.20652173913043478,0.2288888888888889,0.21770531400966184
