model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,ss_language,532869.0021633729,2131476.0086534917,532869.0021633729,quadratic in uniform scale,0.0,0.0,0.5328690031633729,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,ss_concept,626451.733809734,2505806.935238936,626451.733809734,quadratic in uniform scale,0.0,0.0,0.6264517348097339,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,ss_residual,315234.56799800607,1260938.2719920243,315234.56799800607,quadratic in uniform scale,0.0,0.0,0.31523456899800606,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,language_share_total,0.36137607096072133,0.36137607096072133,0.36137607096072133,uniform-scale invariant,0.0,0.0,3.623760709607213e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,concept_share_total,0.42484112472597124,0.42484112472597124,0.42484112472597124,uniform-scale invariant,0.0,0.0,4.2584112472597125e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,residual_share_total,0.21378280431330748,0.21378280431330748,0.21378280431330748,uniform-scale invariant,0.0,0.0,2.1478280431330746e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,lfs_vc_reml,0.48894322400211904,0.48894322400211904,0.48894322400211904,uniform-scale invariant,0.0,0.0,4.89943224002119e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,mexa_external,0.19861111111111107,0.19861111111111107,0.19861111111111107,uniform-scale invariant,0.0,0.0,1.9961111111111106e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,aar10,-0.11217987173420091,-0.11217987174481044,-0.11217987174481044,uniform-scale invariant,1.0609527145710729e-11,9.457603205185994e-11,1.1317987174481042e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,mean_alignment_margin,-0.05277378424514584,-0.05277378425080887,-0.05277378425080887,uniform-scale invariant,5.663032542901902e-12,1.0730768360268014e-10,5.377378425080887e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,linear_cka,0.7163464619995622,0.7163464619995622,0.7163464619995622,uniform-scale invariant,0.0,0.0,7.173464619995622e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,cvp_within_raw,241.45802610454885,965.8321044181954,241.45802610454885,quadratic in uniform scale,0.0,0.0,0.00024145902610454883,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,cpres_shared_raw,160.62864969480367,642.5145987792147,160.62864969480367,quadratic in uniform scale,0.0,0.0,0.00016062964969480365,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,mean_norm,30.481721607264745,60.96344321452949,30.481721607264745,linear in uniform scale,0.0,0.0,3.0482721607264743e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,concept_rank_covariance_entropy,1.4157030406207423,1.4157030406207423,1.4157030406207423,uniform-scale invariant,0.0,0.0,1.4167030406207423e-06,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,concept_rank_singular_entropy,94.55822383789861,94.55822383789861,94.55822383789861,uniform-scale invariant,0.0,0.0,9.45592238378986e-05,PASS
